id,name,price,description,category_id
408,Filtro de aceite 420,147.32,Descripción del Filtro de aceite 420,1
409,Destornillador 692,629.96,Descripción del Destornillador 692,5
410,Auriculares inalámbricos 326,402.86,Descripción del Auriculares inalámbricos 326,4
411,Cámara digital 260,839.31,Descripción del Cámara digital 260,4
412,Harry Potter y la piedra filosofal 849,364.06,Descripción del Harry Potter y la piedra filosofal 849,10
413,Bolso con Raqueta de Tenis,192.31,Descripción del Bolso con Raqueta de tenis 795,3
414,Bicicleta de montaña 107,670.76,Descripción del Bicicleta de montaña 107,3
415,Batería para auto 878,913.99,Descripción del Batería para auto 878,1
416,Sierra eléctrica 23,352.56,Descripción del Sierra eléctrica 23,5
417,Llantas de aleación 952,858.24,Descripción del Llantas de aleación 952,1
418,Silla de oficina 331,830.44,Descripción del Silla de oficina 331,7
419,Laptop 571,424.92,Descripción del Laptop 571,4
420,El Principito 105,171.95,Descripción del El Principito 105,10
421,Manguera de jardín 509,106.93,Descripción del Manguera de jardín 509,8
422,Cámara digital 654,890.61,Descripción del Cámara digital 654,4
423,Llave inglesa 598,258.07,Descripción del Llave inglesa 598,5
424,Bicicleta de montaña 647,709.47,Descripción del Bicicleta de montaña 647,3
425,Parabrisas 896,62.57,Descripción del Parabrisas 896,1
426,Armario de puertas correderas 166,257.61,Descripción del Armario de puertas correderas 166,11
427,Pistola de agua 26,833.01,Descripción del Pistola de agua 26,9
428,Destornillador 505,60.47,Descripción del Destornillador 505,5
429,Cámara digital 591,930.51,Descripción del Cámara digital 591,4
430,Cinturón de seguridad 598,861.52,Descripción del Cinturón de seguridad 598,1
431,Martillo 279,723.19,Descripción del Martillo 279,5
432,Silla de oficina 800,832.77,Descripción del Silla de oficina 800,7
433,Martillo 761,278.08,Descripción del Martillo 761,5
434,Cien años de soledad 147,40.03,Descripción del Cien años de soledad 147,10
435,Filtro de aceite 496,796.72,Descripción del Filtro de aceite 496,1
436,Llantas de aleación 495,823.66,Descripción del Llantas de aleación 495,1
437,Sudadera con capucha 206,102.30,Descripción del Sudadera con capucha 206,12
438,Pelota de fútbol 514,88.41,Descripción del Pelota de fútbol 514,3
439,Camiseta deportiva 347,591.69,Descripción del Camiseta deportiva 347,3
440,Destornillador 356,204.97,Descripción del Destornillador 356,5
441,Fertilizante 92,236.34,Descripción del Fertilizante 92,8
442,Cómoda de madera 53,127.36,Descripción del Cómoda de madera 53,11
443,El Principito 497,702.27,Descripción del El Principito 497,10
444,Cama King Size 649,809.20,Descripción del Cama King Size 649,7
445,Tijeras de podar 977,459.69,Descripción del Tijeras de podar 977,8
446,Taladro inalámbrico 653,498.92,Descripción del Taladro inalámbrico 653,5
447,Mesa de comedor 922,876.43,Descripción del Mesa de comedor 922,7
448,Muñeca Barbie 140,897.33,Descripción del Muñeca Barbie 140,9
449,Sofá de cuero 327,314.08,Descripción del Sofá de cuero 327,7
450,Camiseta de algodón 374,916.02,Descripción del Camiseta de algodón 374,12
451,Televisor LED 934,973.85,Descripción del Televisor LED 934,4
452,La Odisea 701,204.15,Descripción del La Odisea 701,10
453,Pistola de agua 788,78.08,Descripción del Pistola de agua 788,9
454,Pistola de agua 499,151.00,Descripción del Pistola de agua 499,9
455,Muñeca Barbie 946,686.69,Descripción del Muñeca Barbie 946,9
456,Televisor LED 380,867.69,Descripción del Televisor LED 380,4
457,Chaqueta de cuero 145,596.24,Descripción del Chaqueta de cuero 145,12
458,Guantes de boxeo 874,489.09,Descripción del Guantes de boxeo 874,3
459,Mesa de centro 623,600.85,Descripción del Mesa de centro 623,11
460,Sudadera con capucha 349,897.14,Descripción del Sudadera con capucha 349,12
461,Teléfono inteligente 920,242.19,Descripción del Teléfono inteligente 920,4
462,Harry Potter y la piedra filosofal 161,371.22,Descripción del Harry Potter y la piedra filosofal 161,10
463,Raqueta de tenis 257,644.54,Descripción del Raqueta de tenis 257,3
464,Silla de oficina 871,943.77,Descripción del Silla de oficina 871,7
465,Silla de oficina 585,928.37,Descripción del Silla de oficina 585,7
466,Lego Star Wars 234,465.12,Descripción del Lego Star Wars 234,9
467,Sudadera con capucha 476,827.62,Descripción del Sudadera con capucha 476,12
468,Manguera de jardín 221,68.74,Descripción del Manguera de jardín 221,8
469,Camión de juguete 896,91.63,Descripción del Camión de juguete 896,9
470,Armario de puertas correderas 488,347.85,Descripción del Armario de puertas correderas 488,11
471,Jeans ajustados 84,491.69,Descripción del Jeans ajustados 84,12
472,Escritorio de oficina 997,953.20,Descripción del Escritorio de oficina 997,11
473,Camiseta deportiva 506,461.65,Descripción del Camiseta deportiva 506,3
474,Cortacésped 688,947.49,Descripción del Cortacésped 688,8
475,Guantes de boxeo 709,910.38,Descripción del Guantes de boxeo 709,3
476,Raqueta de tenis 863,704.30,Descripción del Raqueta de tenis 863,3
477,Fertilizante 275,134.53,Descripción del Fertilizante 275,8
478,Sofá de cuero 888,405.41,Descripción del Sofá de cuero 888,7
479,Bicicleta de montaña 545,110.63,Descripción del Bicicleta de montaña 545,3
480,Pelota de fútbol 989,213.67,Descripción del Pelota de fútbol 989,3
481,Parabrisas 355,298.06,Descripción del Parabrisas 355,1
482,El Quijote 665,114.88,Descripción del El Quijote 665,10
483,Cama King Size 798,60.66,Descripción del Cama King Size 798,7
484,Estantería de madera 767,202.39,Descripción del Estantería de madera 767,7
485,Teléfono inteligente 969,601.49,Descripción del Teléfono inteligente 969,4
486,Sudadera con capucha 819,707.16,Descripción del Sudadera con capucha 819,12
487,El Principito 706,615.94,Descripción del El Principito 706,10
488,Jeans ajustados 760,503.17,Descripción del Jeans ajustados 760,12
489,Bicicleta de montaña 166,567.73,Descripción del Bicicleta de montaña 166,3
490,Batería para auto 217,615.09,Descripción del Batería para auto 217,1
491,Batería para auto 220,175.91,Descripción del Batería para auto 220,1
492,Camión de juguete 72,45.27,Descripción del Camión de juguete 72,9
493,La Odisea 453,746.52,Descripción del La Odisea 453,10
494,Sudadera con capucha 894,604.51,Descripción del Sudadera con capucha 894,12
495,Silla de oficina 125,817.90,Descripción del Silla de oficina 125,7
496,Lego Star Wars 927,365.68,Descripción del Lego Star Wars 927,9
497,El Quijote 779,741.67,Descripción del El Quijote 779,10
498,Manguera de jardín 971,506.73,Descripción del Manguera de jardín 971,8
499,Sudadera con capucha 848,846.20,Descripción del Sudadera con capucha 848,12
500,Llave inglesa 54,282.07,Descripción del Llave inglesa 54,5
